"Authors","Title","Journal","Year","study_design","aims","intervention1","intervention2","intervention3","description","inclusion_criterion1","inclusion_criterion2","inclusion_criterion3","inclusion_criterion4","inclusion_criterion5","inclusion_criterion6","inclusion_criterion7","inclusion_criterion8","exclusion_criterion1","exclusion_criterion2","exclusion_criterion3","exclusion_criterion4","exclusion_criterion5","exclusion_criterion6","exclusion_criterion7","exclusion_criterion8","exclusion_criterion9","exclusion_criterion10","exclusion_criterion11","exclusion_criterion12","exclusion_criterion13","exclusion_criterion14","exclusion_criterion15","exclusion_criterion16","exclusion_criterion17","exclusion_criterion18","exclusion_criterion19","exclusion_criterion20","exclusion_criterion21","exclusion_criterion22","exclusion_criterion23","exclusion_criterion24","exclusion_criterion25","exclusion_criterion26"
"Cattaneo et al. 2016","Safinamide as Add-On Therapy to Levodopa in Mid-to Late-Stage Parkinson’s Disease Fluctuating Patients: Post hoc Analysesof Studies 016 and SETTLE","J Parkinsons Dis","2016","Randomised-controlled trial (RCT)","To evaluate the clinical effects of safinamide on motor fluctuations and cardinal symptoms of iPS-patients","safinamide",NA,NA,"study 116: two doses of safinamide (50 and 100) used in two groups  (for post hoc analyses 100 mg included only, Study SETTLE 50 mg daily for 2 weeks, afterwards 100 mg Safinamide. For post hoc analyses treatment effects of safinamide 100 mg once daily versus placebo  during double-blind phases of Stidy 016 and SETTLE. Data of both studies were pooled. 487 received 100 mg safinamide, 484 placebo.","mid to late-stage PD"," motor fluctuations while receiving levodopa",NA,NA,NA,NA,NA,NA,"medication with another MAO-B inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Choi et al. 2000","The effect of long-term levodopa therapy on depression level in de novo patients with Parkinson’s disease.","J. Neurol. Sci.","2000","Quasi-experimental study","To evaluate the effects of levodopa therapy on depression in de novo patients and additionally motor scores","levodopa",NA,NA,NA,"iPS according to clinical criteria of the Core Assessment Program for Intracerebral Transplantation",NA,NA,NA,NA,NA,NA,NA,"Patients with structural lesions in the MRI"," less than 24 points in the Mini Mental State Examination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Çinar et al. 2013","Could Apomorphine be an effective treatment option for refractory tremor in Parkinsons disease: a pilot study","Nobel Med","2013","Quasi-experimental study","To evaluate effects of apomorphine sc as an add-on for levodopa refractory tremor in iPS","apomorphine",NA,NA,"Apomorphine was administered at increasing dosages with 1, 2, 4mg every 15 minutes in OFF medication state","IPS-patients according to unknown clinical criteria"," stable dopaminergic medication"," medically refractory tremor",NA,NA,NA,NA,NA,"other significant diseases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Craig et al. 2006","Controlled Pilot Study of the Effects of Neuromuscular Therapy in Patients with Parkinson's Disease","Mov. Disord","2006","Randomised-controlled trial (RCT)","To evaluate the effects of neuromuscular therapy on motor symptoms of iPS-patients","other",NA,NA,"Randomisation to a. group receiving NMT and b. active control group receiving music relaxation. Two 45 minutes sessions weekly for four weeks. Identical relaxation music during all sessions. Data collection at baseline, week 4 and 8 days after finishing treatment","IPS according to unknown clinical criteria"," moderately advanced disease stage"," optimal and stable medication for at least one month"," no expected medication changes within four months"," MMST greater than 20"," no major active medical or psychiatric conditions",NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dirkx et al. 2019","Cerebral differences between dopamine-resistant and dopamine-responsive Parkinson’s tremor","BRAIN","2019","Quasi-experimental study","To ascertain increased tremor-related activity in non-dopaminergic brain regions, particularly the cerebellum in patients suffering from iPS with good response to dopaminergic therapy versus those without","levodopa",NA,NA,"Administration of  a. levodopa or placebo (200mg).","iPS-patient according to UK Brain Bank criteria"," resting tremor that is MDS-UPDRS item 17 greater than 0 at least at one limb",NA,NA,NA,NA,NA,NA,"neurologic comorbidities"," signs of psychogenic tremor"," allergies"," MMSE score less than 25"," FAB score less than 13"," improvement of less than 0,2 after levodopa in akinesia and rigidity MDS-UPDRS subscores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eggert et al. 2010","Direct switch from levodopa/benserazide or levodopa/carbidopa to levodopa/carbidopa/entacapone in Parkinson’s disease patients with wearing-off: efficacy, safety and feasibility—an open-label, 6-week study.","J. Neural Transm.","2010","Quasi-experimental study","To investigate the efficacy, safety and feasibility of direct switch from
either levodopa and carbidopa or levodopa and benserazide to levodopa with carbidopa and entacapone in study design resembling routine
clinical practice in iPS-patients with wearing-off","levodopa"," entacapone",NA,"during baseline period of two weeks change in dosage between levodopa with decarboxlase inhibitor to lce with the possibility to adjust for dosage during this time. During six weeks period the medication had to remain unchanged","iPS-patient according to unknown clinical criteria"," age of at least 35 years"," Hoehn and Yahr stage of 1 to 3"," wearing-off, defined as more than one positive symptom in the WOQ9 questionnaire"," treatment with standard release levodopa and decarboxylase inhibitor at dosing frequency of three or four daily dosages",NA,NA,NA,"intake of COMT inhibitor six weeks prior to baseline"," concomitant treatment with non-selective MAO inhibitor"," intake of apomorphine"," concomitant medication with drugs with anti-dopaminergic action, such as reserpine, antipsychotics drugs if it did not exceed one evening dose of atypical antipsychotic drug"," medication with D2 receptor blocking antiemetics, except domperidone"," patients with unpredictable OFF periods or dyskinesia"," clinically significant concomitant diseases"," abnormal laboratory values or electrocardiogram"," females who were of childbearing potential, pregnant or lactating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elmer (2013)","Rasagiline adjunct therapy in patients with Parkinson's disease: Post hoc analyses of the PRESTO and LARGO trials","Parkinsonism Relat. Disord.","2013","Randomised-controlled trial (RCT)","assess clinical effect of rasagiline 1mg/day on cardinal PD symptoms and motor fluctuations in defined patient subgrous using data from PRESTO and LARGO.","rasagiline",NA,NA,"Post-hoc analysis of effects of rasagiline as add-on to existing dopaminergic therapy. Data of two studies (LARGO and PRESTO) pooled with analyses of all cardinal symptoms but also subgroup analyses","iPS according to clinical criteria"," disease duration of less than 1.5 years from diagnosis"," No necessity for anti parkinsonian treatment and forseable stable situation for nine months"," willingness and ability to give informed consent",NA,NA,NA,NA,"Subjects aged less than 30 or more than 80 years"," loss of postural reflexes"," UPDRS Tremor scores of three or greater in any limb"," Hoehn and Yahr stage three or greater","  presence of freezing while walking"," subjects with history repeated strokes with stepwise progression of parkinsonian features, repeated head injury or history of definite encephalitis , sustained remission, presence of supranuclear gaze palsy, cerebellar signs, concomitant early severe autonomic involvement, presence of Babinski's sign, presence of a cerebral tumour or communicating hydrocephalus, MPTP exposure, Oculogyric crises"," subjects who have had previous use of rasagiline or selegiline, subjects trated with other anti-PD medication at any time prior to baseline"," subjects having used any other anti-PD medication (including anticholinergics) for less than three weeks prior to the three month period preceding baseline whose anti-PD medication is intentionally ceased in order for the subject to enter the study"," subjects who have a clinically significant or unstable medical or surgical condition that may preclude safe and complete participation"," Hypertensive subjects whose BP is not well controlled according to the medical record or as observed during the week of home BP recording prior to baseline"," subjects diagnosed with melanoma based on the screening dermatologic examination, or with a history of melanoma"," subjects with suspicious lesions at baseline who do not undergo biopsy"," subjects with significant cognitive impairment as defined by MMSE score < 26"," subjects with clinically significant psychiatric illness, including major depression [Beck Depression Inventory (short form) =15"," subjects with a history of alcohol or substance abuse within the past 2 years"," subjects who have taken any experimental medications within 60 days prior to baseline"," subjects who have used coenzyme Q10 (in daily doses > 300 mg) within 120 days prior to baseline"," subjects who have used sympathomimetics (including over-the-counter remedies - nasal or oral), dextromethorphan, pethidine or St. John's Wort within the 7 days prior to baseline"," Subjects who have used antidepressants within 42 days prior to baseline"," subjects who have used ciprofloxacin, a potent CYP 1A2 inhibitor within 7 days prior to baseline"," subjects who have used MAO inhibitors including reserpine or methyldopa within the three months prior to baseline, or treatment with an anti-emetic or antipsychotic medication with central dopamine antagonist activity within the six months prior to baseline"," women who are not postmenopausal, surgically sterilized, or using adequate birth control [oral birth control pills, IUD, or a long acting injectable form of contraception"," barrier methods alone (i.e., condom) are not sufficient]. Women of childbearing potential without a negative pregnancy test at screening. Nursing women",NA,NA,NA
"Evidente et al. 2003","Piribedil as an adjunct to levodopa in advanced Parkinson's disease: the Asian experience.","Parkinsonism Relat. Disord.","2003","Quasi-experimental study","To report experiences with piribedil as adjunct therapy to levodopa in Filipino patients with advanced iPS","piribedil",NA,NA,"After baseline evaluation at week 0, start of piribedil treatment 50mg qd, slow increase of 50mg per week, evaluation after final week with UPDRS.","iPS according to Queens Square Brain Bank criteria"," age 25-85 years"," Hoehn and Yahr stadium 2.5 to 4"," motor fluctuations"," levodopa intake at least 3qd",NA,NA,NA,"Atypical parkinsonism"," pregnancy"," sexually active reproductive female patients"," history of significant cardiovascular, renal, hepatic, psychiatric disease"," signs of dementia"," history of neuroleptics intake except clozapine"," orthostatic hypotension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fischer et al. 1990","Treatment of parkinsonian tremor with clozapine.","J. Neural Transm.","1990","Quasi-experimental study","To assess the therapeutic efficacy of clozapine on parkinsonian tremor","clozapine",NA,NA,"previous medication with antichoinergics or beta-blockers discontinued, clozapine started at 25qd, stepwise increase until improvement or side effects occured. Clinical examinations twice before start and at days 3,7,10,17 and 21 during titration period and 30 and 90 during follow up","severe PD tremor w/o satisfying response to conventional therapy",NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frazzitta et al. 2013","Effectiveness of an intensive rehabilitation treatment on different Parkinson's disease subtypes","Neuro Rehabilitation","2013","Quasi-experimental study","To evaluate whether different iPS-subtypes respond differently to physical excercise","physical_exercise",NA,NA,"four week cycle of physiotherapy with three daily sessions of one hour a. cardiovascular warm up, b. relaxation excercise c. muscle stretching, d. improving function of abdominal and sine muscles, e. secondary balance and gait excercise with stabilometric platform with visual cue and treadmill f. third occupational therapy for autonomy in daily iving activities). Examination by neurologists during OFF, i.e. after 12 hours medication withdrawal at baseline and at end of rehab treatment.","clinically probable iPS according to criteria by Gelb et al."," ability to walk without any physical assistanc"," MMST less than 26"," no comorbidity unrelated to iPS"," no vestibular or visual dysfunction limiting locomotion or balance"," stable antiparkinsonian medications stable for more than 8 weeks",NA,NA,"uncertain data according to tremor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Friedman et al. 1997","Benztropine versus clozapine for the treatment of tremor in Parkinson's disease","Neurology","1997","Quasi-experimental study","To compare low-dose clozapine to benztropine for treatment of tremor in iPS","clozapine",NA,NA,"clozapine and benztropine repackaged into identical capsules. Tremor measured by UPDRS and Fahn-Tolosa-Marin tremor scale at baseline and every two weeks. Videotapes at baseline and at maximum dose. a. Benztropine first 0.75mg qd increased each week by 0.75 mg to twice daily regimen. b. Clozapine first 12.5mg qd, increased by 12.5mg to twice daily regimen. Maximum doses of a. 4.5mg benztropine or 75mg clozapine daily. Ceiling dose for 1 week and maximum duration for each arm six weeks with two week washout. Second arm with other drug (clozapine or benzperidine, respectively)","IPS according to unknown clinical criteria"," ability to give informed consent"," age from 21 to 80 years"," score greater than 1 in UPDRS tremor items",NA,NA,NA,NA,"blood dyscrasia history"," uncontrolled seizures"," orthostatic hypotension"," prostatism"," narrow angle glaucoma"," dopamine blocking drugs within three months of study entry"," intake of betablocker"," intake of alpha-metyl-dopa-reserpine"," concomitant medication with dopamine agonists, anticholinergics, amantadine or antihistamines"," other drugs associated wih agranulocytosis within preceeding four weeks"," significant adverse events with either anticholingergics or clozapine"," white blood count of less than 4000 per microliter"," drug abuse"," pregnant or lactating women"," female fertiles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parkinson Study Group (1999)","Low Dose Clozapine for the treatment of drug-induced psychosis in Parkinson's disease","N Engl J Med","1999","Randomised-controlled trial (RCT)","To evaluate effects of low-dose clozapine for treatment of drug-induced psychosis and motor functions of iPS-patients","clozapine",NA,NA,"Patients randomly assigned to a. clozapine or b. placebo, double blind evaluation for four weeks. Baseline physical examination. Clozapine started at 6.25mg qd, which could be increased once between weekly office visits. At end of fourth week all tests repeated. Possible doses of clozapine between from 6.25mg to 50mg qd","iPS according to clinical criteria, that is when three of four cardinal symptoms were present"," psychosis induced by antiparkinsonian drugs which were severe enough to require treatment"," duration of psychosis more than four weeks",NA,NA,NA,NA,NA,"history of leukopenia"," dopamine-blocking medication within three months before study"," neuroleptic drug adminstered as depot within one year before study"," change in anxiolytic or antidepressant medication within one month before study"," orthostatic hypotension"," previous intake of clozapine"," uncontrolled angina"," uncontrolled seizures"," aquired immunodeficiency syndrome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glass (2003)","High Dose Treatment of Parkinson's disease with alpha-Dihydroergocryptine","Akt Neurol","2003","Quasi-experimental study",NA,"dopamine_agonist",NA,NA,"individual dose of dihidroergocriptin as add-on to levodopa over 6 months","IPS according to unknown clinical criteria"," clinical decision to initiate or increase dosage of dihydroergocriptin",NA,NA,NA,NA,NA,NA,"Medication with concomitant dopamine agonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goetz et al. 2000","Objective changes in motor function during placebo treatment in PD","Neurology","2000","Randomised-controlled trial (RCT)","examine frequency, temporal development and stability of objectively derived motor changes during placebo treatment in iPS-patients and to define clinical domains and demographic groups most affected","placebo",NA,NA,"Placebo treated group from randomized, multicentre, controlled clinical trial of monotherapy with ropinirole in iPS-patients without motor fluctuations. In 105 patients placebo-associated effects on motor parts of UPDRS was evaluated. Motor examination was divided into 4 categories: remor, bradykinesia, rigidity, gait and balance and midline function. Definition of placebo-associated improvement as improvement over baseline in motor UPDRS of at least .5 or a change in at least two motor itemts at any visits by more than two points.","early iPS according due unspecified clincal criteria"," Hoehn & Yahr stages 1 to 3"," motor symptoms of sufficient severity to warrant the introduction of dopaminergic therapy, but not received L-dopa or any dopaminergic agonist for more than 6 weeks prior to study entry","  other antiparkinsonian therapies, except selegiline, discontinued at least 4 weeks prior to study entry"," selegiline were required to remain on a stable dose of selegiline for 4 weeks prior to study entry and for the duration of the study.",NA,NA,NA,"treatment with vasodilators, antiarrhythmics, digoxin, calcium channel blockers, angiotensin-converting enzyme inhibitors, or other antihypertensive agents (excluding diuretics)"," previous treatment with ropinirole"," history of severe systemic disease, major psychosis, or signs of dementia"," history of severe dizziness or fainting"," diastolic blood pressure of less than 110mmHg"," recent history of alcoholism or drug dependence.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haas et al. 2006","The effects of whole body vibration on motor symptoms in Parkinson's Disease","NeuroRehabilitation","2006","Quasi-experimental study","To study the effects of whole-body-vibration on motor symptoms in iPS","other",NA,NA,"Levodopa withdrawn for 12hours. Three successive test sessions with two patients at each session in parallel, cross-over design. a. whole body vibration with consecutive resting phase. b. first rest, than whole body vibration. UPDRS motor score at baseline and after treatments . Examiner was blinded for intervention. Whole body vibration with 5 series lasting one minute, frequency of 6Hz and amplitude of 3mm.","iPS according to unknown clinical criteria"," ability of unsupported stance",NA,NA,NA,NA,NA,NA,"signs of dementia"," disease impairing gait, stance or coordination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hartelt et al. 2020","Parkinson's Diease Multimodal Complex Treatment (PD-MCT): Analysis of Therapeutic effects and Predictors for Improvement","Journal of Clinical Mediine","2020","Quasi-experimental study","assess efficacy of PD-MCT and calculate predictors of improvement","physical_exercise",NA,NA,"Baseline assessment before start of training, Discharge clinical testing after two weeks and follow-up after 6 weeks.","IPS according to UK Brain Bank criteria",NA,NA,NA,NA,NA,NA,NA,"inability to take part in procedures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hattori et al. 2020","Rasagiline monotherapy in early Parkinson's disease: A phase 3, randomized study in Japan.","Park Relat Disord","2020","Randomised-controlled trial (RCT)","To evaluate the efficacy and safety of rasagiline as monoherapy in iPS-patients","rasagiline",NA,NA,"After initial two-week single-blind run-in period, in which patients received placebo once daily, a 26-week double-blind treatment period was conducted which patients were randomized 1:1 to receive a. placebo or b. oral rasagiline 1 mg qd","IPS according to UK Brain Bank criteria"," age between 30 to 79 years"," Hoehn and Yahr stages of 1 to 3"," MDS-UPDRS scores of more than 14",NA,NA,NA,NA,"Any investigational drug within prior 90 days"," previous use of rasagiline"," MMSE of less than 24"," treatment with amantadine or an anticholinergic drug for more than 180 days"," treatment with selegiline, levodopa or dopamine agonists for more 90 days"," use of selegiline within 90 days of first visit, or of any medication containing levodopa, dopamine agonists, amantadine or anticholinergic drugs within 30 days of first visit"," Concomitant use of antidepressants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heinonen et al. 1989","Selegiline in the treatment of daily fluctuations in disability of parkinsonian patients with long- term levodopa treatment","Acta Neurol. Scand.","1989","Randomised-controlled trial (RCT)","investigate the efficacy of selegiline in the treatment of various types of fluctuations in disability and the effect of selegiline on parkinsonian disability and on the daily levodopa dose needed","selegiline",NA,NA,"patients were randomized to receive a. selegiline hydrochloride or b. placebo. One tablet of 5.0mg was administered in the morning and the other at lunch time, whereas daily levodopa dosages were kept at pre-study levels as fat as possible. Yet, changes were allowed if parkinsonian disability or side-effects required","advanced iPS according to unknown diagnostic criteria"," end-of-dose fluctuations"," daily frequency of over six administrations of levodopa",NA,NA,NA,NA,NA,"marked dementia"," diseases influencing the absorption of medications"," allergies to the medications under investigation"," previous treatments with selegiline or dopamine agonist"," age over 80 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
