"yi","vi","slab","treatment","study_type","qualsyst","ni","category","class","order_no","treatment_diff","study","qualsyst_cat","study.id"
-0.413813937561113,0.0234485884646098,"Moeller et al. 2005","pramipexole","RCT",0.961538461538462,174,"dopamine_agonists",NA,6,"pramipexole",3,"high",3
-0.552365351076309,0.429647010275522,"Navan et al. 2003","pramipexole","RCT",0.461538461538462,10,"dopamine_agonists",NA,6,"pramipexole",8,"low",11
-0.605373563784636,0.427377630380527,"Navan et al. 2003.2","pramipexole","RCT",0.964285714285714,10,"dopamine_agonists",NA,6,"pramipexole",11,"high",11
-0.719581874697245,0.113757220803128,"Pogarell et al. 2002","pramipexole","RCT",0.964285714285714,44,"dopamine_agonists",NA,6,"pramipexole",25,"high",25
-0.992244715512262,0.0254313753850102,"Levin et al. 2010","pramipexole","QES",0.636363636363636,98,"dopamine_agonists",NA,6,"pramipexole",49,"medium",49
-0.577397751002654,0.0515879543197967,"Takahashi et al. 2008","pramipexole","QES",0.428571428571429,42,"dopamine_agonists",NA,6,"pramipexole",58,"low",58
-0.954898002019009,0.0039169299794736,"Reichmann et al. 2002","pramipexole","QES",0.5,627,"dopamine_agonists",NA,6,"pramipexole",68,"low",68
-0.127342412717343,0.0975358726119589,"Brooks et al. 1998","ropinirole","RCT",0.642857142857143,34,"dopamine_agonists",NA,6,"ropinirole",14,"medium",14
-0.0768275113194146,0.0355320790247173,"Schrag et al. 2002","ropinirole","RCT",0.944444444444444,109,"dopamine_agonists",NA,6,"ropinirole",26,"high",26
0.0265058038706373,0.0192823287973875,"Schrag et al. 2002.1","ropinirole","RCT",0.944444444444444,161,"dopamine_agonists",NA,6,"ropinirole",27,"high",27
-0.168813594820378,0.0374295323675368,"Schrag et al. 2002.2","ropinirole","RCT",0.944444444444444,162,"dopamine_agonists",NA,6,"ropinirole",28,"high",28
-0.543784521236766,0.0238382230044158,"Nomoto et al. 2018","rotigotine","RCT",0.909090909090909,87,"dopamine_agonists",NA,6,"rotigotine",23,"high",23
-0.355020825905442,0.00812603978682658,"Nomoto et al. 2018.1","rotigotine","RCT",0.909090909090909,250,"dopamine_agonists",NA,6,"rotigotine",24,"high",24
-0.678451411494421,0.00346834861412035,"Reichmann et al. 2003","rotigotine","QES",0.772727272727273,643,"dopamine_agonists",NA,6,"rotigotine",69,"high",69
-0.401710311555409,0.0800263687386528,"Malsch et al. 2001","amantadine","RCT",0.909090909090909,26,"amantadine",NA,5,"amantadine",31,"high",31
-0.529152376744959,0.0690322941583039,"Mueller et al. 2003.1","amantadine","QES",0.392857142857143,31,"amantadine",NA,5,"amantadine",53,"low",53
-0.66500555823638,0.0584504262169116,"Friedman et al. 1997","benztropin","QES",0.321428571428571,38,"anticholinergics",NA,4,"benztropin",43,"low",44
-0.695935005870083,0.112108138309885,"Sahoo et al. 2020","trihexphenidyl","QES",0.392857142857143,20,"anticholinergics",NA,4,"trihexphenidyl",55,"low",55
-0.288992615450437,0.204175836589244,"Koller et al. 1987","primidone","QES",0.461538461538462,10,"primidone",NA,3,"primidone",63,"low",63
-0.959910352924253,0.123035697141279,"Yoshii et al. 1996","nipradilol","QES",0.65,20,"betablocker",NA,2,"nipradilol",73,"medium",73
-0.933668449916808,0.243586838718503,"Koller et al. 1987.1","propanolol","QES",0.461538461538462,10,"betablocker",NA,2,"propanolol",64,"low",63
-0.509594394771318,0.152131658827941,"Bullock et al. 2021","zuranolone","QES",0.85,14,"betablocker",NA,2,"zuranolone",38,"high",38
-0.297830526476151,0.0454300335833451,"Anderson et al. 1992","levodopa","QES",0.545454545454545,45,"levodopa",NA,1,"levodopa",33,"medium",33
-0.326703467376983,0.0526504507127711,"Brannan & Yahr (1995)","levodopa","QES",0.681818181818182,39,"levodopa",NA,1,"levodopa",37,"medium",36
-0.787959616234964,0.0679541228943699,"Choi et al. 2000","levodopa","QES",0.772727272727273,34,"levodopa",NA,1,"levodopa",39,"high",39
-0.752358001740279,0.0671476847468033,"Dirkx et al. 2019","levodopa","QES",0.571428571428571,34,"levodopa",NA,1,"levodopa",41,"medium",41
-1.29587897644774,0.141982558039981,"Sahoo et al. 2020","levodopa","QES",0.392857142857143,20,"levodopa",NA,1,"levodopa",56,"low",55
-1.58932169677878,0.155379606091709,"Wilken et al. 2019","levodopa","QES",0.727272727272727,21,"levodopa",NA,1,"levodopa",59,"high",59
-1.24911939233096,0.0365809161598505,"Zach et al. 2020","levodopa","QES",0.714285714285714,76,"levodopa",NA,1,"levodopa",60,"high",41
-0.476061414050207,0.0062524178549519,"Mueller et al. 2003","levodopa","QES",0.291666666666667,338,"levodopa",NA,1,"levodopa",66,"low",66
-0.541861153969572,0.214680675509062,"Pollok et al. 2009","levodopa","QES",0.590909090909091,10,"levodopa",NA,1,"levodopa",67,"medium",67
-0.742886639234882,0.0329846417300993,"Zach et al. 2017","levodopa","QES",0.571428571428571,69,"levodopa",NA,1,"levodopa",74,"medium",74
